cleaned_address,latitude,longitude,count,Delete
94530,37.914242,-122.305937,2681,yes
"cerrito, ca, 94530",37.914242,-122.305937,1716,
"11565 san pablo avenue, el cerrito, ca, 94530",37.92472755,-122.3189275,1016,yes
"ca, 94530",37.914242,-122.305937,953,
"11450 san pablo avenue, at ramp, el cerrito, ca, 94530",37.9227459,-122.3156135,849,
"2000 el cerrito plaza, el cerrito, ca, 94530",37.90112197,-122.2985491,817,
"1000 el cerrito plaza, el cerrito, ca, 94530",37.90049903,-122.2981904,760,
"el cerrito, ca, 94530",37.914242,-122.305937,600,yes
"11344 san pablo avenue, el cerrito, ca, 94530",37.92125602,-122.31504,524,
"avenue), el cerrito, ca, 94530",37.90074667,-122.2977321,434,yes
"670 el cerrito plaza, el cerrito, ca, 94530",37.89930599,-122.300025,374,
"10636 san pablo avenue, el cerrito, ca, 94530",37.91233855,-122.3076314,345,
"11545 san pablo avenue, el cerrito, ca, 94530",37.92387901,-122.31861,321,
"670 el cerrito plaza, at parking lot, el cerrito, ca, 94530",37.89930599,-122.300025,281,
"540 ashbury avenue, central avenue & lincoln avenue, el cerrito, ca, 94530",37.90771199,-122.2944775,276,
"225 el cerrito plaza, el cerrito, ca, 94530",37.8988522,-122.2995545,272,
"6060 central avenue, at carlson boulevard, el cerrito, ca, 94530",37.90195099,-122.30466,264,
"11821 san pablo avenue, el cerrito, ca, 94530",37.9281959,-122.3209303,249,
"11319 san pablo avenue, el cerrito, ca, 94530",37.92105699,-122.315828,239,
"10650 san pablo avenue, moeser lane & portola drive, el cerrito, ca, 94530",37.91286326,-122.3078178,237,
"10900 san pablo avenue, at manila avenue, el cerrito, ca, 94530",37.915673,-122.311684,221,yes
"7501 schmidt lane, el cerrito, ca, 94530",37.91936598,-122.2988071,214,
"5920 cutting boulevard, el cerrito, ca, 94530",37.925122,-122.31903,191,
"10636 san pablo avenue, moeser lane & portola drive, el cerrito, ca, 94530",37.91233855,-122.3076314,186,
"6009 potrero avenue, el cerrito, ca, 94530",37.92121071,-122.3169819,186,
"6000 el cerrito plaza, el cerrito, ca, 94530",37.90035914,-122.3005598,179,
"11450 san pablo avenue, at ramp (at ramp), el cerrito, ca, 94530",37.9227459,-122.3156135,174,
"11861 san pablo avenue, ramp & parking lot, el cerrito, ca, 94530",37.9286823,-122.3213713,157,
"6050 el cerrito plaza, el cerrito, ca, 94530",37.90021413,-122.3010941,152,
"11511 san pablo avenue, el cerrito, ca, 94530",37.9237231,-122.3181203,149,
"9800 san pablo avenue, el cerrito, ca, 94530",37.89817041,-122.3008611,149,
"11785 san pablo avenue, el cerrito, ca, 94530",37.92760698,-122.320639,146,
"11344 san pablo avenue, at ramp, el cerrito, ca, 94530",37.92125602,-122.31504,142,
"10944 san pablo avenue, el cerrito, ca, 94530",37.91748466,-122.3114829,132,
"11555 san pablo avenue, at parking lot, el cerrito, ca, 94530",37.92405214,-122.3190435,129,
"11299 san pablo avenue, at potrero avenue, el cerrito, ca, 94530",37.92078701,-122.315297,124,
"6400 cutting boulevard, san pablo avenue & kearney street, el cerrito, ca, 94530",37.91651999,-122.3121165,123,
"11450 san pablo avenue, el cerrito, ca, 94530",37.9227459,-122.3156135,121,
"11755 san pablo avenue, el cerrito, ca, 94530",37.926653,-122.320228,121,
"9895 san pablo avenue, at carlson boulevard, el cerrito, ca, 94530",37.899027,-122.301918,114,
"7125 donal avenue, el cerrito, ca, 94530",37.92103113,-122.306325,113,
"moeser), el cerrito, ca, 94530",37.91771195,-122.2943503,113,yes
"3090 el cerrito plaza, at fairmount avenue, el cerrito, ca, 94530",37.90144799,-122.300011,112,
"5805 cutting boulevard, el cerrito, ca, 94530",37.92589879,-122.3197482,110,
"7007 moeser lane, el cerrito, ca, 94530",37.91419686,-122.3027123,110,
"kearney), el cerrito, ca, 94530",37.90642164,-122.3042559,107,yes
"street), el cerrito, ca, 94530",37.90074667,-122.2977321,105,yes
"11060 san pablo avenue, el cerrito, ca, 94530",37.91783687,-122.3126187,102,
"11780 san pablo avenue, el cerrito, ca, 94530",37.92776938,-122.3198407,102,
"1800 elm street, at key boulevard, el cerrito, ca, 94530",37.92536001,-122.313774,100,
"san pablo avenue), el cerrito, ca, 94530",37.91492312,-122.310988,100,
